date,category,description,amount
2026-04-01,Food,Demo groceries,34.25
2026-04-02,Transport,Demo bus ticket,3.40
2026-04-03,Shopping,Demo notebook,8.99
2026-04-05,Health,Demo pharmacy item,16.75
2026-04-07,Other,Demo household item,12.30
2026-04-10,Rent,Demo apartment rent,720.00
2026-04-12,Food,Demo cafe lunch,18.50
2026-04-15,Transport,Demo train ticket,24.00
2026-04-18,Shopping,Demo desk lamp,42.90
2026-04-20,Health,Demo vitamins,21.60
2026-04-24,Food,Demo dinner,27.80
2026-04-27,Other,Demo subscription,9.99
