date,category,description,amount
2026-01-01,Food,Groceries,48.25
2026-01-02,Transport,Bus pass,22.00
2026-01-03,Shopping,Winter socks,11.90
2026-01-04,Health,Cold medicine,16.45
2026-01-05,Rent,Monthly rent,750.00
2026-01-06,Other,Cloud storage,3.99
2026-01-07,Food,Coffee,4.80
2026-01-08,Transport,Taxi ride,18.60
2026-01-09,Shopping,Notebook,6.35
2026-01-10,Health,Vitamins,21.50
2026-01-11,Food,Lunch,13.75
2026-01-12,Other,Post office,7.20
2026-01-13,Transport,Train ticket,25.40
2026-01-14,Shopping,Desk organizer,14.99
2026-01-15,Food,Restaurant dinner,42.10
2026-01-16,Health,Doctor visit,80.00
2026-01-17,Other,Streaming service,12.99
2026-01-18,Food,Bakery,8.45
2026-01-19,Transport,Fuel,52.30
2026-01-20,Shopping,Book,17.80
2026-01-21,Food,Fresh fruit,10.60
2026-01-22,Other,Gift,29.95
